"years","updated_on_day","total_reporting_time_taken_hh_mm_ss","min_reporting_time_taken_hh_mm_ss","avg_reporting_time_taken_hh_mm_ss","max_reporting_time_taken_hh_mm_ss","count_of_xrays"
"2019","Sunday   ","28:35:31","00:21:20","02:51:33.1","15:15:16","10"
"2019","Monday   ","90:24:57","00:14:36","03:20:55.444444","20:18:09","27"
"2019","Saturday ","40:49:15","00:06:28","01:56:37.857143","05:31:21","21"
"2019","Friday   ","85:02:46","00:06:51","02:30:04.882353","14:28:20","34"
"2019","Wednesday","67:45:55","00:02:56","03:59:10.294118","19:05:44","17"
"2019","Thursday ","54:43:33","00:01:03","01:57:16.178571","12:23:13","28"
"2019","Tuesday  ","82:43:15","00:08:44","02:17:52.083333","11:00:23","36"
"2020","Thursday ","211:21:44","00:00:00","02:22:29.483146","14:04:39","89"
"2020","Sunday   ","306:11:42","00:03:08","03:44:02.707317","19:50:12","82"
"2020","Saturday ","256:17:46","00:00:00","02:07:05.338843","23:00:12","121"
"2020","Wednesday","210:04:12","00:00:00","01:58:54.45283","14:24:54","106"
"2020","Monday   ","390:05:28","00:01:00","01:53:37.126214","21:27:49","206"
"2020","Tuesday  ","231:24:06","00:00:00","02:24:37.5625","14:07:38","96"
"2020","Friday   ","254:31:07","00:01:41","01:58:22.844961","17:28:26","129"
