"years","updated_on_month","total_reporting_time_taken_hh_mm_ss","min_reporting_time_taken_hh_mm_ss","avg_reporting_time_taken_hh_mm_ss","max_reporting_time_taken_hh_mm_ss","count_of_xrays"
"2019","June     ","07:44:40","03:51:59","03:52:20","03:52:41","2"
"2019","July     ","03:28:03","00:17:20","01:09:21","02:37:19","3"
"2019","August   ","39:56:36","00:34:40","03:04:21.230769","08:21:39","13"
"2019","September","65:17:29","00:14:18","03:15:52.45","19:05:44","20"
"2019","October  ","92:07:28","00:09:33","03:10:36.137931","16:05:41","29"
"2019","November ","98:17:43","00:01:03","02:17:09.372093","12:15:29","43"
"2019","December ","143:13:13","00:02:54","02:16:24.015873","20:18:09","63"
"2020","January  ","331:36:50","00:01:57","03:38:38.791209","18:43:40","91"
"2020","February ","222:59:41","00:02:06","03:00:48.391892","21:27:49","74"
"2020","March    ","249:28:11","00:01:37","02:50:05.579545","15:27:58","88"
"2020","April    ","75:57:25","00:00:00","01:51:09.390244","18:23:45","41"
"2020","May      ","147:26:36","00:00:00","01:23:27.509434","19:50:12","106"
"2020","June     ","309:53:57","00:00:00","01:56:56.584906","23:00:12","159"
"2020","July     ","423:15:53","00:00:00","02:25:57.201149","17:28:26","174"
"2020","August   ","131:23:16","00:05:04","01:20:26.489796","05:19:57","98"
